angle (rad)	r (microns)	Courbure (um^-1)	 Rayon de courbure (um)
0.168	7.3236	0.17005	5.8807
0.169	7.3216	0.16965	5.8945
0.17	7.3197	0.16925	5.9083
0.171	7.3177	0.16886	5.9222
0.172	7.3157	0.16846	5.9361
0.173	7.3138	0.16807	5.9501
0.174	7.3118	0.16767	5.9641
0.175	7.3098	0.16728	5.9781
0.176	7.3079	0.16688	5.9922
0.177	7.3059	0.16649	6.0063
0.178	7.3039	0.1661	6.0205
0.179	7.302	0.16571	6.0347
0.18	7.3	0.16532	6.049
0.181	7.298	0.16493	6.0633
0.182	7.296	0.16454	6.0777
0.183	7.2941	0.16415	6.092
0.184	7.2921	0.16376	6.1065
0.185	7.2901	0.16337	6.1209
0.186	7.2881	0.16299	6.1354
0.187	7.2861	0.1626	6.15
0.188	7.2841	0.16222	6.1646
0.189	7.2822	0.16183	6.1792
0.19	7.2802	0.16145	6.1939
0.191	7.2782	0.16107	6.2086
0.192	7.2762	0.16069	6.2233
0.193	7.2742	0.1603	6.2381
0.194	7.2722	0.15992	6.2529
0.195	7.2702	0.15955	6.2678
0.196	7.2682	0.15917	6.2827
0.197	7.2662	0.15879	6.2976
0.198	7.2642	0.15841	6.3126
0.199	7.2622	0.15804	6.3276
0.2	7.2602	0.15766	6.3427
0.201	7.2582	0.15729	6.3577
0.202	7.2562	0.15692	6.3729
0.203	7.2542	0.15654	6.388
0.204	7.2522	0.15617	6.4032
0.205	7.2502	0.1558	6.4184
0.206	7.2482	0.15543	6.4337
0.207	7.2462	0.15506	6.449
0.208	7.2442	0.1547	6.4643
0.209	7.2422	0.15433	6.4797
0.21	7.2402	0.15396	6.4951
0.211	7.2382	0.1536	6.5105
0.212	7.2362	0.15323	6.526
0.213	7.2342	0.15287	6.5415
0.214	7.2322	0.15251	6.557
0.215	7.2301	0.15215	6.5726
0.216	7.2281	0.15179	6.5881
0.217	7.2261	0.15143	6.6038
0.218	7.2241	0.15107	6.6194
0.219	7.2221	0.15071	6.6351
0.22	7.2201	0.15036	6.6508
0.221	7.2181	0.15	6.6666
0.222	7.2161	0.14965	6.6823
0.223	7.214	0.14929	6.6981
0.224	7.212	0.14894	6.714
0.225	7.21	0.14859	6.7298
0.226	7.208	0.14824	6.7457
0.227	7.206	0.14789	6.7617
0.228	7.204	0.14754	6.7776
0.229	7.202	0.1472	6.7936
0.23	7.1999	0.14685	6.8096
0.231	7.1979	0.14651	6.8256
0.232	7.1959	0.14616	6.8417
0.233	7.1939	0.14582	6.8577
0.234	7.1919	0.14548	6.8738
0.235	7.1899	0.14514	6.89
0.236	7.1878	0.1448	6.9061
0.237	7.1858	0.14446	6.9223
0.238	7.1838	0.14412	6.9385
0.239	7.1818	0.14379	6.9547
0.24	7.1798	0.14345	6.971
0.241	7.1778	0.14312	6.9873
0.242	7.1757	0.14278	7.0036
0.243	7.1737	0.14245	7.0199
0.244	7.1717	0.14212	7.0362
0.245	7.1697	0.14179	7.0526
0.246	7.1677	0.14146	7.069
0.247	7.1657	0.14114	7.0854
0.248	7.1637	0.14081	7.1018
0.249	7.1616	0.14048	7.1183
0.25	7.1596	0.14016	7.1347
0.251	7.1576	0.13984	7.1512
0.252	7.1556	0.13951	7.1677
0.253	7.1536	0.13919	7.1842
0.254	7.1516	0.13887	7.2008
0.255	7.1495	0.13856	7.2173
0.256	7.1475	0.13824	7.2339
0.257	7.1455	0.13792	7.2505
0.258	7.1435	0.13761	7.2671
0.259	7.1415	0.13729	7.2837
0.26	7.1395	0.13698	7.3004
0.261	7.1375	0.13667	7.317
0.262	7.1355	0.13636	7.3337
0.263	7.1335	0.13605	7.3504
0.264	7.1314	0.13574	7.3671
0.265	7.1294	0.13543	7.3838
0.266	7.1274	0.13512	7.4006
0.267	7.1254	0.13482	7.4173
0.268	7.1234	0.13452	7.4341
0.269	7.1214	0.13421	7.4508
0.27	7.1194	0.13391	7.4676
0.271	7.1174	0.13361	7.4844
0.272	7.1154	0.13331	7.5012
0.273	7.1134	0.13301	7.518
0.274	7.1114	0.13272	7.5349
0.275	7.1094	0.13242	7.5517
0.276	7.1074	0.13213	7.5685
0.277	7.1054	0.13183	7.5854
0.278	7.1034	0.13154	7.6023
0.279	7.1014	0.13125	7.6191
0.28	7.0994	0.13096	7.636
0.281	7.0974	0.13067	7.6529
0.282	7.0954	0.13038	7.6698
0.283	7.0934	0.13009	7.6867
0.284	7.0914	0.12981	7.7036
0.285	7.0894	0.12952	7.7205
0.286	7.0874	0.12924	7.7375
0.287	7.0854	0.12896	7.7544
0.288	7.0834	0.12868	7.7713
0.289	7.0814	0.1284	7.7883
0.29	7.0794	0.12812	7.8052
0.291	7.0774	0.12784	7.8222
0.292	7.0754	0.12757	7.8391
0.293	7.0735	0.12729	7.8561
0.294	7.0715	0.12702	7.873
0.295	7.0695	0.12674	7.89
0.296	7.0675	0.12647	7.9069
0.297	7.0655	0.1262	7.9239
0.298	7.0635	0.12593	7.9409
0.299	7.0616	0.12566	7.9578
0.3	7.0596	0.1254	7.9748
0.301	7.0576	0.12513	7.9917
0.302	7.0556	0.12486	8.0087
0.303	7.0536	0.1246	8.0257
0.304	7.0517	0.12434	8.0426
0.305	7.0497	0.12408	8.0596
0.306	7.0477	0.12382	8.0765
0.307	7.0458	0.12356	8.0935
0.308	7.0438	0.1233	8.1104
0.309	7.0418	0.12304	8.1274
0.31	7.0398	0.12278	8.1443
0.311	7.0379	0.12253	8.1613
0.312	7.0359	0.12228	8.1782
0.313	7.034	0.12202	8.1951
0.314	7.032	0.12177	8.2121
0.315	7.03	0.12152	8.229
0.316	7.0281	0.12127	8.2459
0.317	7.0261	0.12102	8.2628
0.318	7.0242	0.12078	8.2797
0.319	7.0222	0.12053	8.2966
0.32	7.0202	0.12029	8.3135
0.321	7.0183	0.12004	8.3304
0.322	7.0163	0.1198	8.3472
0.323	7.0144	0.11956	8.3641
0.324	7.0125	0.11932	8.3809
0.325	7.0105	0.11908	8.3978
0.326	7.0086	0.11884	8.4146
0.327	7.0066	0.1186	8.4314
0.328	7.0047	0.11837	8.4482
0.329	7.0027	0.11813	8.465
0.33	7.0008	0.1179	8.4818
0.331	6.9989	0.11767	8.4986
0.332	6.9969	0.11743	8.5154
0.333	6.995	0.1172	8.5321
0.334	6.9931	0.11697	8.5489
0.335	6.9911	0.11675	8.5656
0.336	6.9892	0.11652	8.5823
0.337	6.9873	0.11629	8.599
0.338	6.9854	0.11607	8.6157
0.339	6.9834	0.11584	8.6323
0.34	6.9815	0.11562	8.649
0.341	6.9796	0.1154	8.6656
0.342	6.9777	0.11518	8.6823
0.343	6.9758	0.11496	8.6989
0.344	6.9738	0.11474	8.7155
0.345	6.9719	0.11452	8.732
0.346	6.97	0.1143	8.7486
0.347	6.9681	0.11409	8.7651
0.348	6.9662	0.11387	8.7816
0.349	6.9643	0.11366	8.7981
0.35	6.9624	0.11345	8.8146
0.351	6.9605	0.11324	8.8311
0.352	6.9586	0.11303	8.8475
0.353	6.9567	0.11282	8.864
0.354	6.9548	0.11261	8.8804
0.355	6.9529	0.1124	8.8967
0.356	6.951	0.11219	8.9131
0.357	6.9491	0.11199	8.9294
0.358	6.9472	0.11178	8.9458
0.359	6.9454	0.11158	8.9621
0.36	6.9435	0.11138	8.9783
0.361	6.9416	0.11118	8.9946
0.362	6.9397	0.11098	9.0108
0.363	6.9378	0.11078	9.027
0.364	6.936	0.11058	9.0432
0.365	6.9341	0.11038	9.0594
0.366	6.9322	0.11019	9.0755
0.367	6.9303	0.10999	9.0916
0.368	6.9285	0.1098	9.1077
0.369	6.9266	0.1096	9.1237
0.37	6.9248	0.10941	9.1398
0.371	6.9229	0.10922	9.1558
0.372	6.921	0.10903	9.1718
0.373	6.9192	0.10884	9.1877
0.374	6.9173	0.10865	9.2036
0.375	6.9155	0.10847	9.2195
0.376	6.9136	0.10828	9.2354
0.377	6.9118	0.10809	9.2513
0.378	6.9099	0.10791	9.2671
0.379	6.9081	0.10773	9.2829
0.38	6.9062	0.10754	9.2986
0.381	6.9044	0.10736	9.3144
0.382	6.9026	0.10718	9.3301
0.383	6.9007	0.107	9.3457
0.384	6.8989	0.10682	9.3614
0.385	6.8971	0.10664	9.377
0.386	6.8952	0.10647	9.3926
0.387	6.8934	0.10629	9.4081
0.388	6.8916	0.10612	9.4236
0.389	6.8898	0.10594	9.4391
0.39	6.8879	0.10577	9.4546
0.391	6.8861	0.1056	9.47
0.392	6.8843	0.10543	9.4854
0.393	6.8825	0.10525	9.5008
0.394	6.8807	0.10509	9.5161
0.395	6.8789	0.10492	9.5314
0.396	6.8771	0.10475	9.5466
0.397	6.8753	0.10458	9.5619
0.398	6.8735	0.10442	9.5771
0.399	6.8717	0.10425	9.5922
0.4	6.8699	0.10409	9.6073
0.401	6.8681	0.10392	9.6224
0.402	6.8663	0.10376	9.6375
0.403	6.8645	0.1036	9.6525
0.404	6.8627	0.10344	9.6675
0.405	6.8609	0.10328	9.6824
0.406	6.8591	0.10312	9.6973
0.407	6.8574	0.10296	9.7122
0.408	6.8556	0.10281	9.7271
0.409	6.8538	0.10265	9.7419
0.41	6.852	0.10249	9.7566
0.411	6.8503	0.10234	9.7714
0.412	6.8485	0.10219	9.786
0.413	6.8467	0.10203	9.8007
0.414	6.845	0.10188	9.8153
0.415	6.8432	0.10173	9.8299
0.416	6.8415	0.10158	9.8444
0.417	6.8397	0.10143	9.8589
0.418	6.838	0.10128	9.8734
0.419	6.8362	0.10113	9.8878
0.42	6.8345	0.10099	9.9022
0.421	6.8327	0.10084	9.9165
0.422	6.831	0.1007	9.9308
0.423	6.8292	0.10055	9.9451
0.424	6.8275	0.10041	9.9593
0.425	6.8258	0.10027	9.9735
0.426	6.824	0.10012	9.9876
0.427	6.8223	0.099983	10.002
0.428	6.8206	0.099842	10.016
0.429	6.8189	0.099703	10.03
0.43	6.8171	0.099564	10.044
0.431	6.8154	0.099426	10.058
0.432	6.8137	0.099289	10.072
0.433	6.812	0.099153	10.085
0.434	6.8103	0.099017	10.099
0.435	6.8086	0.098882	10.113
0.436	6.8069	0.098748	10.127
0.437	6.8052	0.098615	10.14
0.438	6.8035	0.098483	10.154
0.439	6.8018	0.098351	10.168
0.44	6.8001	0.09822	10.181
0.441	6.7984	0.09809	10.195
0.442	6.7967	0.097961	10.208
0.443	6.795	0.097832	10.222
0.444	6.7933	0.097704	10.235
0.445	6.7916	0.097577	10.248
0.446	6.79	0.097451	10.262
0.447	6.7883	0.097325	10.275
0.448	6.7866	0.097201	10.288
0.449	6.7849	0.097077	10.301
0.45	6.7833	0.096953	10.314
0.451	6.7816	0.096831	10.327
0.452	6.7799	0.096709	10.34
0.453	6.7783	0.096588	10.353
0.454	6.7766	0.096467	10.366
0.455	6.775	0.096348	10.379
0.456	6.7733	0.096229	10.392
0.457	6.7717	0.09611	10.405
0.458	6.77	0.095993	10.417
0.459	6.7684	0.095876	10.43
0.46	6.7667	0.09576	10.443
0.461	6.7651	0.095645	10.455
0.462	6.7635	0.09553	10.468
0.463	6.7618	0.095416	10.48
0.464	6.7602	0.095303	10.493
0.465	6.7586	0.09519	10.505
0.466	6.757	0.095078	10.518
0.467	6.7553	0.094967	10.53
0.468	6.7537	0.094857	10.542
0.469	6.7521	0.094747	10.554
0.47	6.7505	0.094638	10.567
0.471	6.7489	0.094529	10.579
0.472	6.7473	0.094422	10.591
0.473	6.7457	0.094314	10.603
0.474	6.7441	0.094208	10.615
0.475	6.7425	0.094102	10.627
0.476	6.7409	0.093997	10.639
0.477	6.7393	0.093893	10.65
0.478	6.7377	0.093789	10.662
0.479	6.7361	0.093686	10.674
0.48	6.7345	0.093584	10.686
0.481	6.733	0.093482	10.697
0.482	6.7314	0.093381	10.709
0.483	6.7298	0.09328	10.72
0.484	6.7282	0.09318	10.732
0.485	6.7267	0.093081	10.743
0.486	6.7251	0.092983	10.755
0.487	6.7235	0.092885	10.766
0.488	6.722	0.092787	10.777
0.489	6.7204	0.092691	10.789
0.49	6.7189	0.092595	10.8
0.491	6.7173	0.092499	10.811
0.492	6.7158	0.092405	10.822
0.493	6.7142	0.092311	10.833
0.494	6.7127	0.092217	10.844
0.495	6.7111	0.092124	10.855
0.496	6.7096	0.092032	10.866
0.497	6.7081	0.09194	10.877
0.498	6.7065	0.091849	10.887
0.499	6.705	0.091759	10.898
0.5	6.7035	0.091669	10.909
0.501	6.702	0.09158	10.919
0.502	6.7004	0.091491	10.93
0.503	6.6989	0.091403	10.941
0.504	6.6974	0.091315	10.951
0.505	6.6959	0.091228	10.961
0.506	6.6944	0.091142	10.972
0.507	6.6929	0.091057	10.982
0.508	6.6914	0.090971	10.992
0.509	6.6899	0.090887	11.003
0.51	6.6884	0.090803	11.013
0.511	6.6869	0.09072	11.023
