angle (rad)	r (microns)	Courbure (um^-1)	 Rayon de courbure (um)
0	7.5094	0.070117	14.262
0.001	7.5092	0.080714	12.122
0.002	7.5091	0.096355	10.301
0.003	7.5089	0.11367	8.8378
0.004	7.5087	0.12927	7.7758
0.005	7.5086	0.13978	7.1561
0.006	7.5084	0.1429	6.9806
0.007	7.5082	0.14143	7.0633
0.008	7.5081	0.13961	7.1654
0.009	7.5079	0.13945	7.1741
0.01	7.5077	0.14001	7.1428
0.011	7.5076	0.14027	7.128
0.012	7.5074	0.14018	7.1333
0.013	7.5072	0.14003	7.1417
0.014	7.5071	0.14	7.1433
0.015	7.5069	0.14003	7.1415
0.016	7.5067	0.14004	7.1407
0.017	7.5066	0.14003	7.1413
0.018	7.5064	0.14001	7.1423
0.019	7.5062	0.14	7.1427
0.02	7.5061	0.14	7.1429
0.021	7.5059	0.14	7.143
0.022	7.5057	0.13999	7.1433
0.023	7.5056	0.13999	7.1435
0.024	7.5054	0.13998	7.1437
0.025	7.5052	0.13998	7.1438
0.026	7.505	0.13998	7.1439
0.027	7.5049	0.13998	7.144
0.028	7.5047	0.13998	7.144
0.029	7.5045	0.13998	7.144
0.03	7.5044	0.13998	7.144
0.031	7.5042	0.13998	7.144
0.032	7.504	0.13998	7.1439
0.033	7.5038	0.13998	7.1438
0.034	7.5037	0.13999	7.1436
0.035	7.5035	0.13999	7.1434
0.036	7.5033	0.13999	7.1432
0.037	7.5031	0.14	7.1429
0.038	7.503	0.14	7.1427
0.039	7.5028	0.14001	7.1424
0.04	7.5026	0.14002	7.142
0.041	7.5024	0.14002	7.1416
0.042	7.5022	0.14003	7.1412
0.043	7.5021	0.14004	7.1408
0.044	7.5019	0.14005	7.1403
0.045	7.5017	0.14006	7.1398
0.046	7.5015	0.14007	7.1393
0.047	7.5014	0.14008	7.1387
0.048	7.5012	0.14009	7.1381
0.049	7.501	0.14011	7.1375
0.05	7.5008	0.14012	7.1368
0.051	7.5006	0.14013	7.1361
0.052	7.5004	0.14015	7.1354
0.053	7.5003	0.14016	7.1347
0.054	7.5001	0.14018	7.1339
0.055	7.4999	0.14019	7.1331
0.056	7.4997	0.14021	7.1322
0.057	7.4995	0.14023	7.1314
0.058	7.4994	0.14024	7.1305
0.059	7.4992	0.14026	7.1295
0.06	7.499	0.14028	7.1286
0.061	7.4988	0.1403	7.1276
0.062	7.4986	0.14032	7.1266
0.063	7.4984	0.14034	7.1255
0.064	7.4982	0.14036	7.1244
0.065	7.4981	0.14038	7.1233
0.066	7.4979	0.14041	7.1222
0.067	7.4977	0.14043	7.121
0.068	7.4975	0.14045	7.1198
0.069	7.4973	0.14048	7.1186
0.07	7.4971	0.1405	7.1173
0.071	7.4969	0.14053	7.116
0.072	7.4967	0.14055	7.1147
0.073	7.4965	0.14058	7.1134
0.074	7.4964	0.14061	7.112
0.075	7.4962	0.14063	7.1106
0.076	7.496	0.14066	7.1092
0.077	7.4958	0.14069	7.1078
0.078	7.4956	0.14072	7.1063
0.079	7.4954	0.14075	7.1048
0.08	7.4952	0.14078	7.1032
0.081	7.495	0.14081	7.1017
0.082	7.4948	0.14084	7.1001
0.083	7.4946	0.14088	7.0985
0.084	7.4944	0.14091	7.0968
0.085	7.4942	0.14094	7.0952
0.086	7.494	0.14097	7.0935
0.087	7.4939	0.14101	7.0917
0.088	7.4937	0.14104	7.09
0.089	7.4935	0.14108	7.0882
0.09	7.4933	0.14111	7.0864
0.091	7.4931	0.14115	7.0846
0.092	7.4929	0.14119	7.0828
0.093	7.4927	0.14123	7.0809
0.094	7.4925	0.14126	7.079
0.095	7.4923	0.1413	7.0771
0.096	7.4921	0.14134	7.0751
0.097	7.4919	0.14138	7.0732
0.098	7.4917	0.14142	7.0712
0.099	7.4915	0.14146	7.0691
0.1	7.4913	0.1415	7.0671
0.101	7.4911	0.14154	7.065
0.102	7.4909	0.14158	7.0629
0.103	7.4907	0.14163	7.0608
0.104	7.4905	0.14167	7.0587
0.105	7.4903	0.14171	7.0565
0.106	7.4901	0.14176	7.0544
0.107	7.4899	0.1418	7.0522
0.108	7.4896	0.14185	7.0499
0.109	7.4894	0.14189	7.0477
0.11	7.4892	0.14194	7.0454
0.111	7.489	0.14198	7.0431
0.112	7.4888	0.14203	7.0408
0.113	7.4886	0.14208	7.0385
0.114	7.4884	0.14212	7.0361
0.115	7.4882	0.14217	7.0337
0.116	7.488	0.14222	7.0313
0.117	7.4878	0.14227	7.0289
0.118	7.4876	0.14232	7.0265
0.119	7.4874	0.14237	7.024
0.12	7.4872	0.14242	7.0216
0.121	7.4869	0.14247	7.0191
0.122	7.4867	0.14252	7.0165
0.123	7.4865	0.14257	7.014
0.124	7.4863	0.14262	7.0115
0.125	7.4861	0.14268	7.0089
0.126	7.4859	0.14273	7.0063
0.127	7.4857	0.14278	7.0037
0.128	7.4855	0.14284	7.0011
0.129	7.4852	0.14289	6.9984
0.13	7.485	0.14294	6.9958
0.131	7.4848	0.143	6.9931
0.132	7.4846	0.14305	6.9904
0.133	7.4844	0.14311	6.9877
0.134	7.4842	0.14317	6.9849
0.135	7.4839	0.14322	6.9822
0.136	7.4837	0.14328	6.9794
0.137	7.4835	0.14334	6.9766
0.138	7.4833	0.14339	6.9739
0.139	7.4831	0.14345	6.971
0.14	7.4828	0.14351	6.9682
0.141	7.4826	0.14357	6.9654
0.142	7.4824	0.14363	6.9625
0.143	7.4822	0.14369	6.9597
0.144	7.482	0.14374	6.9568
0.145	7.4817	0.1438	6.9539
0.146	7.4815	0.14386	6.951
0.147	7.4813	0.14393	6.948
0.148	7.4811	0.14399	6.9451
0.149	7.4808	0.14405	6.9421
0.15	7.4806	0.14411	6.9392
0.151	7.4804	0.14417	6.9362
0.152	7.4801	0.14423	6.9332
0.153	7.4799	0.1443	6.9302
0.154	7.4797	0.14436	6.9272
0.155	7.4795	0.14442	6.9242
0.156	7.4792	0.14448	6.9211
0.157	7.479	0.14455	6.9181
0.158	7.4788	0.14461	6.915
0.159	7.4785	0.14468	6.912
0.16	7.4783	0.14474	6.9089
0.161	7.4781	0.14481	6.9058
0.162	7.4778	0.14487	6.9027
0.163	7.4776	0.14494	6.8996
0.164	7.4774	0.145	6.8964
0.165	7.4771	0.14507	6.8933
0.166	7.4769	0.14513	6.8902
0.167	7.4767	0.1452	6.887
0.168	7.4764	0.14527	6.8839
0.169	7.4762	0.14533	6.8807
0.17	7.4759	0.1454	6.8775
0.171	7.4757	0.14547	6.8743
0.172	7.4755	0.14554	6.8712
0.173	7.4752	0.1456	6.868
0.174	7.475	0.14567	6.8648
0.175	7.4747	0.14574	6.8615
0.176	7.4745	0.14581	6.8583
0.177	7.4743	0.14588	6.8551
0.178	7.474	0.14595	6.8519
0.179	7.4738	0.14601	6.8486
0.18	7.4735	0.14608	6.8454
0.181	7.4733	0.14615	6.8421
0.182	7.473	0.14622	6.8389
0.183	7.4728	0.14629	6.8356
0.184	7.4725	0.14636	6.8324
0.185	7.4723	0.14643	6.8291
0.186	7.472	0.1465	6.8258
0.187	7.4718	0.14657	6.8225
0.188	7.4715	0.14664	6.8193
0.189	7.4713	0.14671	6.816
0.19	7.471	0.14679	6.8127
0.191	7.4708	0.14686	6.8094
0.192	7.4705	0.14693	6.8061
0.193	7.4703	0.147	6.8028
0.194	7.47	0.14707	6.7995
0.195	7.4698	0.14714	6.7962
0.196	7.4695	0.14721	6.7929
0.197	7.4692	0.14728	6.7896
0.198	7.469	0.14736	6.7863
0.199	7.4687	0.14743	6.783
0.2	7.4685	0.1475	6.7797
0.201	7.4682	0.14757	6.7763
0.202	7.4679	0.14764	6.773
0.203	7.4677	0.14772	6.7697
0.204	7.4674	0.14779	6.7664
0.205	7.4672	0.14786	6.7631
0.206	7.4669	0.14793	6.7598
0.207	7.4666	0.14801	6.7565
0.208	7.4664	0.14808	6.7531
0.209	7.4661	0.14815	6.7498
0.21	7.4658	0.14822	6.7465
0.211	7.4656	0.1483	6.7432
0.212	7.4653	0.14837	6.7399
0.213	7.465	0.14844	6.7366
0.214	7.4648	0.14852	6.7333
0.215	7.4645	0.14859	6.73
0.216	7.4642	0.14866	6.7267
0.217	7.4639	0.14873	6.7234
0.218	7.4637	0.14881	6.7201
0.219	7.4634	0.14888	6.7168
0.22	7.4631	0.14895	6.7135
0.221	7.4628	0.14903	6.7102
0.222	7.4626	0.1491	6.707
