angle (rad)	r (microns)	Courbure (um^-1)	 Rayon de courbure (um)
0	7.6583	0.068975	15.993
0.001	7.6581	0.077025	12.688
0.002	7.6578	0.09953	9.9866
0.003	7.6575	0.12506	8.0483
0.004	7.6573	0.14217	7.0323
0.005	7.657	0.14412	6.925
0.006	7.6567	0.1413	7.0801
0.007	7.6565	0.14152	7.0682
0.008	7.6562	0.14203	7.0396
0.009	7.6559	0.14183	7.0508
0.01	7.6557	0.14173	7.0558
0.011	7.6554	0.14177	7.0539
0.012	7.6551	0.14174	7.055
0.013	7.6549	0.14171	7.0569
0.014	7.6546	0.14169	7.0579
0.015	7.6543	0.14166	7.059
0.016	7.654	0.14164	7.0602
0.017	7.6538	0.14162	7.0613
0.018	7.6535	0.14159	7.0625
0.019	7.6532	0.14157	7.0636
0.02	7.653	0.14155	7.0648
0.021	7.6527	0.14153	7.0659
0.022	7.6524	0.1415	7.067
0.023	7.6521	0.14148	7.0681
0.024	7.6518	0.14146	7.0692
0.025	7.6516	0.14144	7.0703
0.026	7.6513	0.14141	7.0714
0.027	7.651	0.14139	7.0725
0.028	7.6507	0.14137	7.0736
0.029	7.6504	0.14135	7.0747
0.03	7.6502	0.14133	7.0757
0.031	7.6499	0.14131	7.0768
0.032	7.6496	0.14129	7.0779
0.033	7.6493	0.14126	7.0789
0.034	7.649	0.14124	7.0799
0.035	7.6487	0.14122	7.081
0.036	7.6485	0.1412	7.082
0.037	7.6482	0.14118	7.083
0.038	7.6479	0.14116	7.084
0.039	7.6476	0.14114	7.085
0.04	7.6473	0.14112	7.086
0.041	7.647	0.1411	7.087
0.042	7.6467	0.14108	7.088
0.043	7.6464	0.14106	7.089
0.044	7.6462	0.14105	7.0899
0.045	7.6459	0.14103	7.0909
0.046	7.6456	0.14101	7.0918
0.047	7.6453	0.14099	7.0927
0.048	7.645	0.14097	7.0937
0.049	7.6447	0.14095	7.0946
0.05	7.6444	0.14093	7.0955
0.051	7.6441	0.14092	7.0964
0.052	7.6438	0.1409	7.0973
0.053	7.6435	0.14088	7.0982
0.054	7.6432	0.14086	7.0991
0.055	7.6429	0.14085	7.0999
0.056	7.6426	0.14083	7.1008
0.057	7.6423	0.14081	7.1016
0.058	7.642	0.1408	7.1025
0.059	7.6417	0.14078	7.1033
0.06	7.6414	0.14076	7.1041
0.061	7.6411	0.14075	7.1049
0.062	7.6408	0.14073	7.1057
0.063	7.6405	0.14072	7.1065
0.064	7.6402	0.1407	7.1073
0.065	7.6399	0.14068	7.1081
0.066	7.6396	0.14067	7.1088
0.067	7.6393	0.14065	7.1096
0.068	7.639	0.14064	7.1103
0.069	7.6387	0.14063	7.1111
0.07	7.6384	0.14061	7.1118
0.071	7.6381	0.1406	7.1125
0.072	7.6378	0.14058	7.1132
0.073	7.6375	0.14057	7.1139
0.074	7.6372	0.14056	7.1146
0.075	7.6369	0.14054	7.1152
0.076	7.6366	0.14053	7.1159
0.077	7.6363	0.14052	7.1165
0.078	7.6359	0.14051	7.1172
0.079	7.6356	0.14049	7.1178
0.08	7.6353	0.14048	7.1184
0.081	7.635	0.14047	7.119
0.082	7.6347	0.14046	7.1196
0.083	7.6344	0.14045	7.1202
0.084	7.6341	0.14043	7.1207
0.085	7.6338	0.14042	7.1213
0.086	7.6334	0.14041	7.1218
0.087	7.6331	0.1404	7.1224
0.088	7.6328	0.14039	7.1229
0.089	7.6325	0.14038	7.1234
0.09	7.6322	0.14037	7.1239
0.091	7.6319	0.14036	7.1244
0.092	7.6316	0.14035	7.1248
0.093	7.6312	0.14035	7.1253
0.094	7.6309	0.14034	7.1257
0.095	7.6306	0.14033	7.1261
0.096	7.6303	0.14032	7.1266
0.097	7.63	0.14031	7.127
0.098	7.6296	0.1403	7.1273
0.099	7.6293	0.1403	7.1277
0.1	7.629	0.14029	7.1281
0.101	7.6287	0.14028	7.1284
