angle (rad)	r (microns)	Courbure (um^-1)	 Rayon de courbure (um)
0	8.1529	0.11083	10.858
0.001	8.1519	0.11329	8.7323
0.002	8.151	0.14197	6.9351
0.003	8.15	0.18088	5.5565
0.004	8.1491	0.21403	4.6875
0.005	8.1481	0.22667	4.4001
0.006	8.1472	0.22329	4.4765
0.007	8.1462	0.22141	4.5191
0.008	8.1452	0.22268	4.4907
0.009	8.1442	0.22299	4.4838
0.01	8.1432	0.22278	4.489
0.011	8.1422	0.22288	4.4869
0.012	8.1412	0.22304	4.4835
0.013	8.1402	0.22311	4.482
0.014	8.1392	0.22319	4.4805
0.015	8.1382	0.22328	4.4786
0.016	8.1371	0.22337	4.4768
0.017	8.1361	0.22346	4.4751
0.018	8.1351	0.22354	4.4734
0.019	8.134	0.22363	4.4717
0.02	8.1329	0.22371	4.4701
0.021	8.1319	0.22379	4.4684
0.022	8.1308	0.22387	4.4668
0.023	8.1297	0.22395	4.4652
0.024	8.1286	0.22403	4.4636
0.025	8.1275	0.22411	4.4621
0.026	8.1264	0.22419	4.4606
0.027	8.1253	0.22426	4.4591
0.028	8.1242	0.22433	4.4576
0.029	8.1231	0.22441	4.4562
0.03	8.122	0.22448	4.4548
0.031	8.1208	0.22455	4.4534
0.032	8.1197	0.22462	4.452
0.033	8.1186	0.22469	4.4507
0.034	8.1174	0.22475	4.4493
0.035	8.1162	0.22482	4.4481
0.036	8.1151	0.22488	4.4468
0.037	8.1139	0.22494	4.4455
0.038	8.1127	0.22501	4.4443
0.039	8.1115	0.22507	4.4431
0.04	8.1103	0.22512	4.442
0.041	8.1091	0.22518	4.4408
0.042	8.1079	0.22524	4.4397
0.043	8.1067	0.22529	4.4386
0.044	8.1055	0.22535	4.4376
0.045	8.1042	0.2254	4.4366
0.046	8.103	0.22545	4.4355
0.047	8.1018	0.2255	4.4346
0.048	8.1005	0.22555	4.4336
0.049	8.0993	0.2256	4.4327
0.05	8.098	0.22564	4.4318
0.051	8.0967	0.22569	4.4309
0.052	8.0955	0.22573	4.4301
0.053	8.0942	0.22577	4.4293
0.054	8.0929	0.22581	4.4285
0.055	8.0916	0.22585	4.4277
0.056	8.0903	0.22589	4.427
0.057	8.089	0.22592	4.4263
0.058	8.0876	0.22596	4.4256
0.059	8.0863	0.22599	4.425
0.06	8.085	0.22602	4.4243
0.061	8.0836	0.22605	4.4237
0.062	8.0823	0.22608	4.4232
0.063	8.0809	0.22611	4.4226
0.064	8.0796	0.22613	4.4221
0.065	8.0782	0.22616	4.4217
0.066	8.0768	0.22618	4.4212
0.067	8.0755	0.2262	4.4208
0.068	8.0741	0.22622	4.4204
0.069	8.0727	0.22624	4.4201
0.07	8.0713	0.22626	4.4197
0.071	8.0699	0.22627	4.4194
0.072	8.0685	0.22629	4.4192
0.073	8.067	0.2263	4.4189
0.074	8.0656	0.22631	4.4187
0.075	8.0642	0.22632	4.4185
0.076	8.0627	0.22633	4.4184
0.077	8.0613	0.22633	4.4183
0.078	8.0598	0.22634	4.4182
0.079	8.0584	0.22634	4.4181
0.08	8.0569	0.22634	4.4181
0.081	8.0554	0.22634	4.4181
0.082	8.0539	0.22634	4.4181
0.083	8.0524	0.22634	4.4182
0.084	8.051	0.22633	4.4183
0.085	8.0494	0.22632	4.4184
0.086	8.0479	0.22632	4.4186
0.087	8.0464	0.22631	4.4188
0.088	8.0449	0.22629	4.419
0.089	8.0434	0.22628	4.4193
0.09	8.0418	0.22627	4.4196
0.091	8.0403	0.22625	4.4199
0.092	8.0387	0.22623	4.4202
0.093	8.0372	0.22621	4.4206
0.094	8.0356	0.22619	4.4211
0.095	8.034	0.22617	4.4215
0.096	8.0325	0.22614	4.422
0.097	8.0309	0.22612	4.4225
0.098	8.0293	0.22609	4.4231
0.099	8.0277	0.22606	4.4237
0.1	8.0261	0.22603	4.4243
0.101	8.0245	0.22599	4.4249
0.102	8.0228	0.22596	4.4256
0.103	8.0212	0.22592	4.4263
0.104	8.0196	0.22588	4.4271
0.105	8.0179	0.22584	4.4279
0.106	8.0163	0.2258	4.4287
0.107	8.0146	0.22576	4.4296
0.108	8.013	0.22571	4.4305
0.109	8.0113	0.22566	4.4314
0.11	8.0096	0.22561	4.4324
0.111	8.008	0.22556	4.4334
0.112	8.0063	0.22551	4.4344
0.113	8.0046	0.22546	4.4355
0.114	8.0029	0.2254	4.4366
0.115	8.0012	0.22534	4.4377
0.116	7.9995	0.22528	4.4389
0.117	7.9977	0.22522	4.4401
0.118	7.996	0.22516	4.4413
0.119	7.9943	0.22509	4.4426
