	Frame number	Contour_x	Contour_y	Centroid x	Centroid y	Area	Orientation
0	6	23.74886010980817	41.73463264501779	23.513986013986013	24.017482517482517	858	-1.4792935488939754
1	6	23.84400375815093	41.72888961981471	23.513986013986013	24.017482517482517	858	-1.4792935488939754
2	6	23.938625907244315	41.722593765320866	23.513986013986013	24.017482517482517	858	-1.4792935488939754
3	6	24.032899336722583	41.715741949528635	23.513986013986013	24.017482517482517	858	-1.4792935488939754
4	6	24.126999493787274	41.708326138506514	23.513986013986013	24.017482517482517	858	-1.4792935488939754
5	6	24.221103238623215	41.70033355490639	23.513986013986013	24.017482517482517	858	-1.4792935488939754
6	6	24.315387823942572	41.69174688239499	23.513986013986013	24.017482517482517	858	-1.4792935488939754
7	6	24.410030118254227	41.68254450957973	23.513986013986013	24.017482517482517	858	-1.4792935488939754
8	6	24.50520608489711	41.672700807116286	23.513986013986013	24.017482517482517	858	-1.4792935488939754
9	6	24.601090531755	41.66218643126009	23.513986013986013	24.017482517482517	858	-1.4792935488939754
10	6	24.697856584953904	41.65096864769525	23.513986013986013	24.017482517482517	858	-1.4792935488939754
11	6	24.795672993701665	41.63901172770366	23.513986013986013	24.017482517482517	858	-1.4792935488939754
12	6	24.894701714474134	41.62627743609998	23.513986013986013	24.017482517482517	858	-1.4792935488939754
13	6	24.995095790710543	41.612725596523426	23.513986013986013	24.017482517482517	858	-1.4792935488939754
14	6	25.096997548669158	41.59831471641075	23.513986013986013	24.017482517482517	858	-1.4792935488939754
15	6	25.200537134988622	41.58300264991475	23.513986013986013	24.017482517482517	858	-1.4792935488939754
16	6	25.30583142675036	41.56674727208477	23.513986013986013	24.017482517482517	858	-1.4792935488939754
17	6	25.412983350389084	41.549507131725164	23.513986013986013	24.017482517482517	858	-1.4792935488939754
18	6	25.522081651601802	41.53124204345135	23.513986013986013	24.017482517482517	858	-1.4792935488939754
19	6	25.633201164410917	41.51191357157088	23.513986013986013	24.017482517482517	858	-1.4792935488939754
20	6	25.74640250569457	41.49148535512059	23.513986013986013	24.017482517482517	858	-1.4792935488939754
21	6	25.861729529542366	41.4699233022933	23.513986013986013	24.017482517482517	858	-1.4792935488939754
22	6	25.979207319837286	41.44719549956606	23.513986013986013	24.017482517482517	858	-1.4792935488939754
23	6	26.098840749871737	41.423272172363774	23.513986013986013	24.017482517482517	858	-1.4792935488939754
24	6	26.220613663421716	41.39812576758984	23.513986013986013	24.017482517482517	858	-1.4792935488939754
25	6	26.344488738811854	41.37173112761907	23.513986013986013	24.017482517482517	858	-1.4792935488939754
26	6	26.470408103264447	41.34406572496303	23.513986013986013	24.017482517482517	858	-1.4792935488939754
27	6	26.598294770504257	41.31510992703753	23.513986013986013	24.017482517482517	858	-1.4792935488939754
28	6	26.72805498007201	41.28484726099012	23.513986013986013	24.017482517482517	858	-1.4792935488939754
29	6	26.85957698066055	41.2532647222317	23.513986013986013	24.017482517482517	858	-1.4792935488939754
30	6	26.992729554685063	41.22035324153607	23.513986013986013	24.017482517482517	858	-1.4792935488939754
31	6	27.12736150032147	41.18610827025212	23.513986013986013	24.017482517482517	858	-1.4792935488939754
32	6	27.263302159266217	41.15053043665471	23.513986013986013	24.017482517482517	858	-1.4792935488939754
33	6	27.400363083524617	41.11362622514835	23.513986013986013	24.017482517482517	858	-1.4792935488939754
34	6	27.53834093890987	41.07540862877888	23.513986013986013	24.017482517482517	858	-1.4792935488939754
35	6	27.677021746398935	41.035897723938085	23.513986013986013	24.017482517482517	858	-1.4792935488939754
36	6	27.816184329639636	40.99512112693942	23.513986013986013	24.017482517482517	858	-1.4792935488939754
37	6	27.955598472925153	40.95311455293472	23.513986013986013	24.017482517482517	858	-1.4792935488939754
38	6	28.09502443977746	40.90992250188647	23.513986013986013	24.017482517482517	858	-1.4792935488939754
39	6	28.23421395198489	40.86559897001138	23.513986013986013	24.017482517482517	858	-1.4792935488939754
40	6	28.372912729193747	40.82020807921169	23.513986013986013	24.017482517482517	858	-1.4792935488939754
41	6	28.51086468784443	40.773824512038	23.513986013986013	24.017482517482517	858	-1.4792935488939754
42	6	28.64781789499815	40.726533635193796	23.513986013986013	24.017482517482517	858	-1.4792935488939754
43	6	28.783532367137916	40.67843118995182	23.513986013986013	24.017482517482517	858	-1.4792935488939754
44	6	28.91777678562239	40.6296227237196	23.513986013986013	24.017482517482517	858	-1.4792935488939754
45	6	29.050326870991952	40.58022289752027	23.513986013986013	24.017482517482517	858	-1.4792935488939754
46	6	29.180965492895147	40.53035448081326	23.513986013986013	24.017482517482517	858	-1.4792935488939754
47	6	29.309484572665372	40.48014684502343	23.513986013986013	24.017482517482517	858	-1.4792935488939754
48	6	29.43568882523309	40.42973377147976	23.513986013986013	24.017482517482517	858	-1.4792935488939754
49	6	29.559401339141914	40.37924955225448	23.513986013986013	24.017482517482517	858	-1.4792935488939754
50	6	29.68047071365019	40.32882435754884	23.513986013986013	24.017482517482517	858	-1.4792935488939754
51	6	29.79877450962935	40.278580462484236	23.513986013986013	24.017482517482517	858	-1.4792935488939754
52	6	29.914214362319314	40.22862962383158	23.513986013986013	24.017482517482517	858	-1.4792935488939754
53	6	30.026712330932124	40.17907150093151	23.513986013986013	24.017482517482517	858	-1.4792935488939754
54	6	30.136208487257473	40.12999288496966	23.513986013986013	24.017482517482517	858	-1.4792935488939754
55	6	30.242659742200686	40.08146752517077	23.513986013986013	24.017482517482517	858	-1.4792935488939754
56	6	30.34603990690577	40.03355636768106	23.513986013986013	24.017482517482517	858	-1.4792935488939754
