 	Area	Mean	StdDev	Min	Max	Major	Minor	Angle	Feret	IntDen	Median	RawIntDen	FeretX	FeretY	FeretAngle	MinFeret
184	34.7962	3769.4169	666.8971	2041	5040	6.6738	6.6385	176.1572	6.8141	131161.4982	3694	8183404.0000	554	825	144.8336	6.5832
185	28.5294	3272.9022	460.4745	2041	4205	6.0392	6.0149	72.8940	6.2151	93373.8817	3174	5825766.0000	216	914	56.6336	5.9502
186	28.5935	3379.4709	522.2186	2042	4280	6.1220	5.9468	100.8068	6.2856	96630.8794	3379	6028976.0000	909	902	108.7999	5.9502
187	19.7141	2942.0333	324.3664	2047	3588	5.0543	4.9662	80.9638	5.2199	57999.6105	2926	3618701.0000	913	1007	67.1663	4.9374
188	47.1055	4200.9476	879.5143	2041	6102	7.7626	7.7263	32.6851	7.9315	197887.8944	4013	12346585.0000	525	160	24.5196	7.7226
189	33.0011	3430.8096	538.7179	2044	4600	6.5279	6.4367	54.6248	6.6631	113220.5713	3341	7064037.0000	24	245	38.8298	6.4566
190	22.8716	3209.0918	433.7505	2041	4061	5.4152	5.3777	118.1452	5.5618	73397.0307	3130	4579374.0000	858	213	131.3086	5.3172
191	30.9816	3786.6358	694.6356	2041	5042	6.3520	6.2101	38.8820	6.5796	117316.1406	3753	7319567.0000	475	283	30.0184	6.2034
192	37.2645	4115.4989	896.0221	2041	5897	6.9851	6.7925	29.2167	7.2649	153362.0222	3995	9568535.0000	407	329	41.4677	6.8364
193	22.1664	3442.1316	517.6473	2046	4284	5.3214	5.3037	168.6770	5.4541	76299.5588	3441	4760468.0000	635	355	158.1986	5.3172
194	27.8402	3839.9269	707.7669	2042	5110	5.9730	5.9346	43.0674	6.1241	106904.2942	3788	6669953.0000	536	438	60.2551	5.9502
195	8.4626	2159.2386	60.9795	2047	2320	3.3539	3.2126	35.2451	3.5107	18272.8775	2149	1140078.0000	299	432	25.6410	3.2916
196	36.4952	4077.9772	831.0787	2041	5642	6.8290	6.8044	82.2302	6.9906	148826.4754	4006	9285554.0000	694	486	35.4171	6.8364
197	26.6702	3661.5889	664.6391	2041	4796	5.8847	5.7704	67.6976	6.0795	97655.1804	3701	6092884.0000	667	596	58.6270	5.8236
198	19.8744	3142.6355	391.6474	2044	3817	5.0462	5.0146	95.7663	5.2091	62457.9998	3126	3896868.0000	133	559	115.9423	5.0640
199	21.2047	3329.2910	465.8032	2047	4114	5.2208	5.1713	57.9920	5.3428	70596.6314	3317	4404652.0000	440	613	36.3268	5.1906
200	40.1655	4065.2785	940.8811	2041	5831	7.3514	6.9565	78.9783	7.5303	163284.0448	4064	10187588.0000	638	668	63.0042	7.0896
201	23.7691	3189.6231	408.6549	2042	3930	5.5142	5.4884	115.0061	5.6688	75814.6074	3144	4730211.0000	934	669	113.7026	5.5503
202	24.9392	3293.0463	700.8532	2038	4360	5.7262	5.5453	3.5806	6.0185	82125.8358	3507	5123980.0000	141	724	22.2490	5.5704
203	49.3174	4219.0348	962.4243	2042	6210	8.0348	7.8151	98.5392	8.1861	208071.6820	4099	12981970.0000	565	767	121.7236	7.9203
204	25.9329	2322.0420	207.0451	2042	2937	5.7909	5.7019	176.7400	5.9341	60217.2572	2259	3757064.0000	219	814	168.9298	5.6970
205	29.1865	3547.1752	578.2080	2050	4642	6.1107	6.0814	98.9413	6.2549	103529.7009	3483	6459406.0000	343	895	125.9421	6.0768
206	22.0702	3160.2534	400.1253	2048	3885	5.3313	5.2709	88.0326	5.4673	69747.4334	3118	4351669.0000	437	926	132.1844	5.1906
207	30.9175	3325.0389	475.5774	2041	4226	6.3150	6.2336	93.7226	6.4318	102801.9452	3285	6414000.0000	261	940	100.2040	6.2034
208	39.6687	3474.4493	574.3083	2042	4580	7.2089	7.0063	108.8212	7.3744	137826.7635	3429	8599262.0000	86	946	101.8887	6.9630
209	20.0507	2877.7722	284.1696	2048	3387	5.0722	5.0332	177.6713	5.2337	57701.3663	2823	3600093.0000	704	970	122.1523	4.9374
210	25.5963	3308.2379	491.0381	2048	4276	5.7678	5.6504	43.8433	5.9516	84678.6707	3277	5283256.0000	409	128	51.9112	5.6970
211	22.0862	3118.3512	396.2460	2041	3859	5.3330	5.2730	159.0343	5.4776	68872.6232	3070	4297088.0000	715	117	146.3099	5.3172
212	21.3329	3000.7686	340.7570	2041	3658	5.2336	5.1900	142.1058	5.3861	64015.1752	2947	3994023.0000	831	123	156.4477	5.1906
213	28.8019	3392.3912	509.1867	2042	4388	6.1178	5.9943	26.5988	6.2766	97707.1584	3321	6096127.0000	230	234	41.7295	5.9502
214	28.3531	3516.9565	555.5493	2043	4624	6.0252	5.9915	113.1511	6.1879	99716.5405	3437	6221496.0000	803	262	149.2373	5.9502
215	28.9461	3599.1002	586.1727	2041	4743	6.0779	6.0638	45.9453	6.2151	104179.9304	3548	6499975.0000	587	267	123.3664	6.0768
216	35.1969	3329.1357	511.8356	2041	4473	6.7214	6.6674	36.5111	6.8878	117175.3368	3219	7310782.0000	24	324	36.0274	6.7098
217	27.2792	3275.8490	449.7694	2042	4172	5.9435	5.8439	135.7564	6.1110	89362.6023	3226	5575495.0000	985	308	129.9575	5.8236
218	40.3258	4009.6021	781.5568	2044	5669	7.1817	7.1493	26.8461	7.3494	161690.4223	3875	10088159.0000	516	372	42.2073	7.0896
219	21.9740	3262.9912	443.1491	2046	4048	5.3184	5.2606	104.5180	5.4541	71701.0871	3211	4473561.0000	818	420	68.1986	5.3172
220	34.2353	3407.2093	523.8050	2062	4584	6.6392	6.5655	62.2034	6.7858	116646.6938	3295	7277799.0000	85	452	53.3439	6.5832
221	19.5859	3164.0393	403.1268	2053	3866	5.0129	4.9747	76.7265	5.1534	61970.5640	3117	3866456.0000	519	498	62.1759	4.9374
222	37.9537	3570.4405	585.2592	2043	4815	6.9666	6.9365	87.4949	7.1358	135511.4117	3454	8454803.0000	136	612	64.7989	6.9630
223	37.8896	3827.2242	700.7635	2042	5193	6.9689	6.9226	110.4533	7.1009	145011.9366	3737	9047558.0000	845	567	101.3099	6.9630
224	192.6535	5255.4713	1391.8706	2043	8354	15.6952	15.6286	147.8511	15.8817	1012484.8022	5213	63170765.0000	307	760	81.2886	15.6985
225	23.9134	3339.5409	498.7188	2041	4204	5.5635	5.4727	119.1590	5.6970	79859.7534	3354	4982595.0000	817	673	126.8699	5.4438
226	27.6158	3507.9216	553.3814	2041	4561	5.9522	5.9073	96.9267	6.1097	96874.0683	3426	6044149.0000	503	675	124.0193	5.9502
227	24.9392	3275.3368	456.8423	2041	4089	5.6561	5.6140	92.4007	5.7988	81684.1754	3269	5096424.0000	796	787	143.8807	5.5704
228	25.0193	2904.6291	316.7180	2044	3581	5.6818	5.6066	99.3634	5.8319	72671.8074	2849	4534126.0000	963	943	117.1213	5.6970
229	18.1434	2681.3057	232.3920	2042	3144	4.8284	4.7844	86.7524	4.9827	48648.0154	2639	3035238.0000	229	965	117.2161	4.8108
230	28.5294	2978.5084	351.9333	2041	3799	6.0613	5.9929	67.7365	6.1931	84975.0076	2903	5301745.0000	132	1014	40.8554	5.9502
