 	Area	Mean	StdDev	Min	Max	Major	Minor	Angle	Feret	IntDen	Median	RawIntDen	FeretX	FeretY	FeretAngle	MinFeret
37	33.0332	3509.6220	651.4101	2035	4993	6.7053	6.2726	125.6677	7.0226	115933.9721	3386	7233331.0000	528	385	123.9765	6.3300
38	17.0856	2818.3471	327.3048	2042	3537	4.6718	4.6564	32.5513	4.8208	48153.0786	2741	3004358.0000	280	413	150.0685	4.6842
39	30.3565	2841.6473	393.2955	2041	3883	6.2393	6.1948	58.5363	6.3868	86262.5964	2740	5382080.0000	186	497	39.3693	6.2034
40	29.5391	3128.0331	454.6856	2046	4208	6.1755	6.0902	111.0937	6.3452	92399.3789	3034	5764965.0000	298	461	118.6105	6.0768
41	27.7120	3146.4401	471.1672	2045	4213	5.9561	5.9240	104.0902	6.1097	87194.0487	3042	5440195.0000	427	484	124.0193	5.9502
42	23.0158	2918.9262	389.5348	2042	3934	5.4534	5.3737	103.5581	5.6049	67181.5360	2819	4191578.0000	321	512	108.4349	5.3172
43	28.3851	2727.8944	366.4728	2059	3662	6.0512	5.9725	81.4159	6.1879	77431.6464	2622	4831101.0000	174	572	59.2373	5.9502
44	20.5796	3681.3185	619.9923	2041	4881	5.1366	5.1012	108.2342	5.2885	75760.1451	3598	4726813.0000	852	573	42.0892	5.0640
45	19.4417	3093.3157	415.3032	2041	4019	4.9919	4.9588	33.7623	5.1410	60139.1700	3028	3752192.0000	687	584	37.9987	4.9374
46	21.0765	2474.4837	303.7355	2044	3226	5.1966	5.1640	146.9125	5.3428	52153.4110	2370	3253946.0000	163	626	143.6732	5.1906
47	35.3732	2823.5415	426.3475	2042	3968	6.7294	6.6928	90.3094	6.8657	99877.7796	2688	6231556.0000	256	705	67.2176	6.7098
48	19.1371	2628.1533	302.7866	2046	3319	4.9434	4.9290	59.0162	5.0956	50295.2987	2537	3138015.0000	412	696	26.5651	4.9374
49	19.8904	2762.1700	337.5160	2042	3495	5.0569	5.0081	91.2316	5.2137	54940.7478	2668	3427853.0000	490	686	150.9454	4.9374
50	23.3364	3648.7163	659.7361	2041	4875	5.5482	5.3554	104.4887	5.7125	85147.8829	3630	5312531.0000	927	750	102.8043	5.4438
51	17.8389	2796.9039	336.0026	2041	3553	4.7836	4.7481	91.5136	4.9309	49893.6275	2698	3112954.0000	625	848	119.1975	4.6842
52	12.0849	2840.9589	305.2900	2045	3418	3.9324	3.9128	178.4803	4.0769	34332.7563	2778	2142083.0000	730	850	126.1582	3.9246
