angle (rad)	r (microns)	Courbure (um^-1)	 Rayon de courbure (um)
0	7.4465	0.071453	15.145
0.001	7.4463	0.076175	12.931
0.002	7.446	0.08929	10.974
0.003	7.4457	0.10696	9.3231
0.004	7.4454	0.12536	8.0276
0.005	7.4452	0.14064	7.1375
0.006	7.4449	0.14902	6.7009
0.007	7.4446	0.14985	6.658
0.008	7.4443	0.14755	6.7756
0.009	7.444	0.14639	6.8347
0.01	7.4438	0.14671	6.8183
0.011	7.4435	0.14721	6.7924
0.012	7.4432	0.14722	6.7914
0.013	7.4429	0.14702	6.8016
0.014	7.4426	0.1469	6.8075
0.015	7.4423	0.14689	6.8079
0.016	7.4421	0.14689	6.8078
0.017	7.4418	0.14685	6.8094
0.018	7.4415	0.1468	6.8118
0.019	7.4412	0.14676	6.8138
0.02	7.4409	0.14673	6.8155
0.021	7.4406	0.14669	6.8171
0.022	7.4403	0.14665	6.8188
0.023	7.44	0.14662	6.8205
0.024	7.4398	0.14658	6.8222
0.025	7.4395	0.14654	6.8239
0.026	7.4392	0.14651	6.8255
0.027	7.4389	0.14647	6.8272
0.028	7.4386	0.14644	6.8288
0.029	7.4383	0.1464	6.8304
0.03	7.438	0.14637	6.832
0.031	7.4377	0.14634	6.8336
0.032	7.4374	0.1463	6.8352
0.033	7.4371	0.14627	6.8367
0.034	7.4368	0.14624	6.8383
0.035	7.4365	0.1462	6.8398
0.036	7.4362	0.14617	6.8413
0.037	7.4359	0.14614	6.8428
0.038	7.4356	0.14611	6.8443
0.039	7.4353	0.14608	6.8457
0.04	7.435	0.14605	6.8472
0.041	7.4347	0.14602	6.8486
0.042	7.4344	0.14599	6.85
0.043	7.4341	0.14596	6.8514
0.044	7.4338	0.14593	6.8528
0.045	7.4335	0.1459	6.8541
0.046	7.4332	0.14587	6.8555
0.047	7.4329	0.14584	6.8568
0.048	7.4326	0.14581	6.8581
0.049	7.4323	0.14578	6.8594
0.05	7.432	0.14576	6.8607
0.051	7.4317	0.14573	6.862
0.052	7.4314	0.1457	6.8632
0.053	7.431	0.14568	6.8645
0.054	7.4307	0.14565	6.8657
0.055	7.4304	0.14563	6.8669
0.056	7.4301	0.1456	6.8681
0.057	7.4298	0.14558	6.8693
0.058	7.4295	0.14555	6.8704
0.059	7.4292	0.14553	6.8716
0.06	7.4289	0.1455	6.8727
0.061	7.4286	0.14548	6.8738
0.062	7.4282	0.14546	6.8749
0.063	7.4279	0.14543	6.876
0.064	7.4276	0.14541	6.877
0.065	7.4273	0.14539	6.8781
0.066	7.427	0.14537	6.8791
0.067	7.4267	0.14535	6.8801
0.068	7.4263	0.14532	6.8811
0.069	7.426	0.1453	6.8821
0.07	7.4257	0.14528	6.8831
0.071	7.4254	0.14526	6.884
0.072	7.4251	0.14524	6.885
0.073	7.4247	0.14522	6.8859
0.074	7.4244	0.14521	6.8868
0.075	7.4241	0.14519	6.8877
0.076	7.4238	0.14517	6.8886
0.077	7.4235	0.14515	6.8894
0.078	7.4231	0.14513	6.8903
0.079	7.4228	0.14511	6.8911
0.08	7.4225	0.1451	6.8919
0.081	7.4222	0.14508	6.8927
0.082	7.4218	0.14506	6.8935
0.083	7.4215	0.14505	6.8942
0.084	7.4212	0.14503	6.895
0.085	7.4208	0.14502	6.8957
0.086	7.4205	0.145	6.8964
0.087	7.4202	0.14499	6.8971
0.088	7.4199	0.14497	6.8978
0.089	7.4195	0.14496	6.8985
0.09	7.4192	0.14495	6.8992
0.091	7.4189	0.14493	6.8998
0.092	7.4185	0.14492	6.9004
0.093	7.4182	0.14491	6.901
0.094	7.4179	0.14489	6.9016
0.095	7.4175	0.14488	6.9022
0.096	7.4172	0.14487	6.9028
0.097	7.4169	0.14486	6.9033
0.098	7.4165	0.14485	6.9039
0.099	7.4162	0.14484	6.9044
0.1	7.4159	0.14483	6.9049
0.101	7.4155	0.14481	6.9054
0.102	7.4152	0.1448	6.9058
0.103	7.4149	0.1448	6.9063
0.104	7.4145	0.14479	6.9067
0.105	7.4142	0.14478	6.9072
0.106	7.4138	0.14477	6.9076
0.107	7.4135	0.14476	6.908
0.108	7.4132	0.14475	6.9084
0.109	7.4128	0.14474	6.9087
0.11	7.4125	0.14474	6.9091
0.111	7.4121	0.14473	6.9094
0.112	7.4118	0.14472	6.9098
0.113	7.4114	0.14472	6.9101
0.114	7.4111	0.14471	6.9104
0.115	7.4108	0.1447	6.9107
0.116	7.4104	0.1447	6.9109
0.117	7.4101	0.14469	6.9112
0.118	7.4097	0.14469	6.9114
0.119	7.4094	0.14468	6.9117
0.12	7.409	0.14468	6.9119
0.121	7.4087	0.14467	6.9121
0.122	7.4083	0.14467	6.9122
0.123	7.408	0.14467	6.9124
0.124	7.4076	0.14466	6.9126
0.125	7.4073	0.14466	6.9127
0.126	7.4069	0.14466	6.9128
0.127	7.4066	0.14466	6.913
0.128	7.4062	0.14465	6.9131
0.129	7.4059	0.14465	6.9132
0.13	7.4055	0.14465	6.9132
0.131	7.4052	0.14465	6.9133
0.132	7.4048	0.14465	6.9133
0.133	7.4045	0.14465	6.9134
0.134	7.4041	0.14465	6.9134
0.135	7.4038	0.14465	6.9134
0.136	7.4034	0.14465	6.9134
0.137	7.4031	0.14465	6.9134
0.138	7.4027	0.14465	6.9133
0.139	7.4023	0.14465	6.9133
0.14	7.402	0.14465	6.9132
0.141	7.4016	0.14465	6.9132
0.142	7.4013	0.14465	6.9131
0.143	7.4009	0.14466	6.913
0.144	7.4006	0.14466	6.9129
0.145	7.4002	0.14466	6.9128
0.146	7.3998	0.14466	6.9126
0.147	7.3995	0.14467	6.9125
0.148	7.3991	0.14467	6.9123
0.149	7.3988	0.14467	6.9122
0.15	7.3984	0.14468	6.912
0.151	7.398	0.14468	6.9118
0.152	7.3977	0.14468	6.9116
0.153	7.3973	0.14469	6.9114
0.154	7.3969	0.14469	6.9111
0.155	7.3966	0.1447	6.9109
0.156	7.3962	0.1447	6.9106
0.157	7.3958	0.14471	6.9104
0.158	7.3955	0.14472	6.9101
0.159	7.3951	0.14472	6.9098
0.16	7.3947	0.14473	6.9095
0.161	7.3944	0.14473	6.9092
0.162	7.394	0.14474	6.9089
0.163	7.3936	0.14475	6.9085
0.164	7.3933	0.14476	6.9082
0.165	7.3929	0.14476	6.9079
0.166	7.3925	0.14477	6.9075
0.167	7.3922	0.14478	6.9071
0.168	7.3918	0.14479	6.9067
0.169	7.3914	0.14479	6.9063
0.17	7.391	0.1448	6.9059
0.171	7.3907	0.14481	6.9055
0.172	7.3903	0.14482	6.9051
0.173	7.3899	0.14483	6.9046
0.174	7.3895	0.14484	6.9042
0.175	7.3892	0.14485	6.9037
0.176	7.3888	0.14486	6.9033
0.177	7.3884	0.14487	6.9028
0.178	7.388	0.14488	6.9023
0.179	7.3877	0.14489	6.9018
0.18	7.3873	0.1449	6.9013
0.181	7.3869	0.14491	6.9008
0.182	7.3865	0.14492	6.9002
0.183	7.3862	0.14493	6.8997
0.184	7.3858	0.14495	6.8992
0.185	7.3854	0.14496	6.8986
0.186	7.385	0.14497	6.898
0.187	7.3846	0.14498	6.8975
0.188	7.3842	0.14499	6.8969
0.189	7.3839	0.14501	6.8963
0.19	7.3835	0.14502	6.8957
0.191	7.3831	0.14503	6.8951
0.192	7.3827	0.14504	6.8945
0.193	7.3823	0.14506	6.8939
0.194	7.3819	0.14507	6.8932
0.195	7.3816	0.14508	6.8926
0.196	7.3812	0.1451	6.8919
0.197	7.3808	0.14511	6.8913
0.198	7.3804	0.14512	6.8906
0.199	7.38	0.14514	6.89
0.2	7.3796	0.14515	6.8893
0.201	7.3792	0.14517	6.8886
0.202	7.3788	0.14518	6.8879
0.203	7.3785	0.1452	6.8872
