angle (rad)	r (microns)	Courbure (um^-1)	 Rayon de courbure (um)
0.168	7.4128	0.14069	7.108
0.169	7.4126	0.14077	7.1036
0.17	7.4125	0.14086	7.0991
0.171	7.4124	0.14095	7.0947
0.172	7.4123	0.14104	7.0902
0.173	7.4122	0.14113	7.0858
0.174	7.4121	0.14122	7.0813
0.175	7.4119	0.14131	7.0768
0.176	7.4118	0.1414	7.0723
0.177	7.4117	0.14149	7.0678
0.178	7.4116	0.14158	7.0633
0.179	7.4115	0.14167	7.0587
0.18	7.4113	0.14176	7.0542
0.181	7.4112	0.14185	7.0497
0.182	7.4111	0.14194	7.0451
0.183	7.411	0.14203	7.0405
0.184	7.4109	0.14213	7.036
0.185	7.4107	0.14222	7.0314
0.186	7.4106	0.14231	7.0268
0.187	7.4105	0.14241	7.0222
0.188	7.4104	0.1425	7.0176
0.189	7.4102	0.14259	7.013
0.19	7.4101	0.14269	7.0084
0.191	7.41	0.14278	7.0037
0.192	7.4099	0.14288	6.9991
0.193	7.4097	0.14297	6.9945
0.194	7.4096	0.14306	6.9898
0.195	7.4095	0.14316	6.9852
0.196	7.4094	0.14326	6.9805
0.197	7.4092	0.14335	6.9759
0.198	7.4091	0.14345	6.9712
0.199	7.409	0.14354	6.9665
0.2	7.4088	0.14364	6.9619
0.201	7.4087	0.14374	6.9572
0.202	7.4086	0.14383	6.9525
0.203	7.4085	0.14393	6.9478
0.204	7.4083	0.14403	6.9431
0.205	7.4082	0.14413	6.9384
0.206	7.4081	0.14422	6.9337
0.207	7.4079	0.14432	6.929
0.208	7.4078	0.14442	6.9243
0.209	7.4077	0.14452	6.9196
0.21	7.4075	0.14462	6.9149
0.211	7.4074	0.14471	6.9102
0.212	7.4073	0.14481	6.9055
0.213	7.4071	0.14491	6.9007
0.214	7.407	0.14501	6.896
0.215	7.4069	0.14511	6.8913
0.216	7.4067	0.14521	6.8866
0.217	7.4066	0.14531	6.8818
0.218	7.4064	0.14541	6.8771
0.219	7.4063	0.14551	6.8724
0.22	7.4062	0.14561	6.8677
0.221	7.406	0.14571	6.8629
0.222	7.4059	0.14581	6.8582
0.223	7.4057	0.14591	6.8535
0.224	7.4056	0.14601	6.8488
0.225	7.4055	0.14611	6.844
0.226	7.4053	0.14621	6.8393
0.227	7.4052	0.14631	6.8346
0.228	7.405	0.14642	6.8299
0.229	7.4049	0.14652	6.8251
0.23	7.4047	0.14662	6.8204
0.231	7.4046	0.14672	6.8157
0.232	7.4044	0.14682	6.811
0.233	7.4043	0.14692	6.8063
0.234	7.4041	0.14703	6.8016
0.235	7.404	0.14713	6.7968
0.236	7.4039	0.14723	6.7921
0.237	7.4037	0.14733	6.7874
0.238	7.4036	0.14743	6.7827
0.239	7.4034	0.14754	6.778
0.24	7.4032	0.14764	6.7733
0.241	7.4031	0.14774	6.7687
0.242	7.4029	0.14784	6.764
0.243	7.4028	0.14794	6.7593
0.244	7.4026	0.14805	6.7546
0.245	7.4025	0.14815	6.7499
0.246	7.4023	0.14825	6.7453
0.247	7.4022	0.14835	6.7406
0.248	7.402	0.14846	6.736
0.249	7.4018	0.14856	6.7313
0.25	7.4017	0.14866	6.7267
0.251	7.4015	0.14876	6.722
0.252	7.4014	0.14887	6.7174
0.253	7.4012	0.14897	6.7128
0.254	7.401	0.14907	6.7081
0.255	7.4009	0.14918	6.7035
0.256	7.4007	0.14928	6.6989
0.257	7.4006	0.14938	6.6943
0.258	7.4004	0.14948	6.6897
0.259	7.4002	0.14959	6.6851
0.26	7.4001	0.14969	6.6806
0.261	7.3999	0.14979	6.676
0.262	7.3997	0.14989	6.6714
0.263	7.3996	0.15	6.6669
0.264	7.3994	0.1501	6.6623
0.265	7.3992	0.1502	6.6578
0.266	7.399	0.1503	6.6533
0.267	7.3989	0.1504	6.6487
0.268	7.3987	0.15051	6.6442
0.269	7.3985	0.15061	6.6397
0.27	7.3983	0.15071	6.6352
0.271	7.3982	0.15081	6.6308
0.272	7.398	0.15091	6.6263
0.273	7.3978	0.15102	6.6218
0.274	7.3976	0.15112	6.6174
0.275	7.3975	0.15122	6.6129
0.276	7.3973	0.15132	6.6085
0.277	7.3971	0.15142	6.6041
0.278	7.3969	0.15152	6.5997
0.279	7.3967	0.15162	6.5953
0.28	7.3965	0.15173	6.5909
0.281	7.3964	0.15183	6.5865
0.282	7.3962	0.15193	6.5821
0.283	7.396	0.15203	6.5778
0.284	7.3958	0.15213	6.5734
0.285	7.3956	0.15223	6.5691
0.286	7.3954	0.15233	6.5648
0.287	7.3952	0.15243	6.5605
0.288	7.395	0.15253	6.5562
0.289	7.3949	0.15263	6.5519
0.29	7.3947	0.15273	6.5476
0.291	7.3945	0.15283	6.5434
0.292	7.3943	0.15293	6.5391
0.293	7.3941	0.15302	6.5349
0.294	7.3939	0.15312	6.5307
0.295	7.3937	0.15322	6.5265
0.296	7.3935	0.15332	6.5223
0.297	7.3933	0.15342	6.5181
0.298	7.3931	0.15352	6.514
0.299	7.3929	0.15361	6.5098
0.3	7.3927	0.15371	6.5057
0.301	7.3925	0.15381	6.5016
0.302	7.3923	0.15391	6.4975
0.303	7.3921	0.154	6.4934
0.304	7.3919	0.1541	6.4893
0.305	7.3916	0.1542	6.4852
0.306	7.3914	0.15429	6.4812
0.307	7.3912	0.15439	6.4772
0.308	7.391	0.15448	6.4731
0.309	7.3908	0.15458	6.4692
0.31	7.3906	0.15467	6.4652
0.311	7.3904	0.15477	6.4612
0.312	7.3902	0.15486	6.4573
0.313	7.3899	0.15496	6.4533
0.314	7.3897	0.15505	6.4494
0.315	7.3895	0.15515	6.4455
0.316	7.3893	0.15524	6.4416
0.317	7.3891	0.15533	6.4378
0.318	7.3888	0.15543	6.4339
0.319	7.3886	0.15552	6.4301
0.32	7.3884	0.15561	6.4263
0.321	7.3882	0.1557	6.4225
0.322	7.388	0.1558	6.4187
0.323	7.3877	0.15589	6.4149
0.324	7.3875	0.15598	6.4112
0.325	7.3873	0.15607	6.4075
0.326	7.387	0.15616	6.4037
0.327	7.3868	0.15625	6.4001
0.328	7.3866	0.15634	6.3964
0.329	7.3863	0.15643	6.3927
0.33	7.3861	0.15652	6.3891
0.331	7.3859	0.15661	6.3855
0.332	7.3856	0.15669	6.3819
0.333	7.3854	0.15678	6.3783
0.334	7.3851	0.15687	6.3747
0.335	7.3849	0.15696	6.3712
0.336	7.3847	0.15704	6.3677
0.337	7.3844	0.15713	6.3642
0.338	7.3842	0.15722	6.3607
0.339	7.3839	0.1573	6.3572
0.34	7.3837	0.15739	6.3538
0.341	7.3834	0.15747	6.3503
0.342	7.3832	0.15756	6.3469
0.343	7.3829	0.15764	6.3436
0.344	7.3827	0.15772	6.3402
0.345	7.3824	0.15781	6.3368
0.346	7.3822	0.15789	6.3335
0.347	7.3819	0.15797	6.3302
0.348	7.3817	0.15805	6.3269
0.349	7.3814	0.15814	6.3237
0.35	7.3812	0.15822	6.3204
0.351	7.3809	0.1583	6.3172
0.352	7.3806	0.15838	6.314
0.353	7.3804	0.15846	6.3108
0.354	7.3801	0.15854	6.3077
0.355	7.3798	0.15862	6.3045
0.356	7.3796	0.15869	6.3014
0.357	7.3793	0.15877	6.2983
0.358	7.379	0.15885	6.2952
0.359	7.3788	0.15893	6.2922
0.36	7.3785	0.159	6.2892
0.361	7.3782	0.15908	6.2861
0.362	7.3779	0.15916	6.2832
0.363	7.3777	0.15923	6.2802
0.364	7.3774	0.15931	6.2773
0.365	7.3771	0.15938	6.2743
0.366	7.3768	0.15945	6.2714
0.367	7.3766	0.15953	6.2686
0.368	7.3763	0.1596	6.2657
0.369	7.376	0.15967	6.2629
0.37	7.3757	0.15974	6.2601
0.371	7.3754	0.15981	6.2573
0.372	7.3751	0.15988	6.2545
0.373	7.3748	0.15995	6.2518
0.374	7.3746	0.16002	6.249
0.375	7.3743	0.16009	6.2463
0.376	7.374	0.16016	6.2437
0.377	7.3737	0.16023	6.241
0.378	7.3734	0.1603	6.2384
0.379	7.3731	0.16036	6.2358
0.38	7.3728	0.16043	6.2332
0.381	7.3725	0.1605	6.2306
0.382	7.3722	0.16056	6.2281
0.383	7.3719	0.16063	6.2256
0.384	7.3716	0.16069	6.2231
0.385	7.3713	0.16075	6.2207
0.386	7.371	0.16082	6.2182
0.387	7.3707	0.16088	6.2158
0.388	7.3704	0.16094	6.2134
0.389	7.3701	0.161	6.211
0.39	7.3697	0.16106	6.2087
0.391	7.3694	0.16113	6.2064
0.392	7.3691	0.16118	6.2041
0.393	7.3688	0.16124	6.2018
0.394	7.3685	0.1613	6.1995
0.395	7.3682	0.16136	6.1973
0.396	7.3678	0.16142	6.1951
0.397	7.3675	0.16147	6.1929
0.398	7.3672	0.16153	6.1908
0.399	7.3669	0.16159	6.1886
0.4	7.3666	0.16164	6.1865
0.401	7.3662	0.1617	6.1845
0.402	7.3659	0.16175	6.1824
0.403	7.3656	0.1618	6.1804
0.404	7.3652	0.16186	6.1784
0.405	7.3649	0.16191	6.1764
0.406	7.3646	0.16196	6.1744
0.407	7.3642	0.16201	6.1725
0.408	7.3639	0.16206	6.1706
0.409	7.3636	0.16211	6.1687
0.41	7.3632	0.16216	6.1668
0.411	7.3629	0.16221	6.165
0.412	7.3625	0.16225	6.1632
0.413	7.3622	0.1623	6.1614
0.414	7.3619	0.16235	6.1596
0.415	7.3615	0.16239	6.1579
0.416	7.3612	0.16244	6.1562
0.417	7.3608	0.16248	6.1545
0.418	7.3605	0.16253	6.1529
0.419	7.3601	0.16257	6.1512
0.42	7.3598	0.16261	6.1496
0.421	7.3594	0.16265	6.148
0.422	7.359	0.1627	6.1465
0.423	7.3587	0.16274	6.1449
0.424	7.3583	0.16278	6.1434
0.425	7.358	0.16282	6.1419
0.426	7.3576	0.16285	6.1405
0.427	7.3572	0.16289	6.139
0.428	7.3569	0.16293	6.1376
0.429	7.3565	0.16297	6.1362
0.43	7.3561	0.163	6.1349
0.431	7.3558	0.16304	6.1335
0.432	7.3554	0.16307	6.1322
0.433	7.355	0.16311	6.1309
0.434	7.3546	0.16314	6.1297
0.435	7.3543	0.16317	6.1285
0.436	7.3539	0.16321	6.1272
0.437	7.3535	0.16324	6.1261
0.438	7.3531	0.16327	6.1249
0.439	7.3528	0.1633	6.1238
0.44	7.3524	0.16333	6.1227
0.441	7.352	0.16336	6.1216
0.442	7.3516	0.16338	6.1205
0.443	7.3512	0.16341	6.1195
0.444	7.3508	0.16344	6.1185
0.445	7.3504	0.16347	6.1175
0.446	7.35	0.16349	6.1166
0.447	7.3497	0.16352	6.1156
0.448	7.3493	0.16354	6.1147
0.449	7.3489	0.16356	6.1138
0.45	7.3485	0.16359	6.113
0.451	7.3481	0.16361	6.1122
0.452	7.3477	0.16363	6.1114
0.453	7.3473	0.16365	6.1106
0.454	7.3469	0.16367	6.1098
0.455	7.3465	0.16369	6.1091
0.456	7.346	0.16371	6.1084
0.457	7.3456	0.16373	6.1077
0.458	7.3452	0.16374	6.1071
0.459	7.3448	0.16376	6.1064
0.46	7.3444	0.16378	6.1058
0.461	7.344	0.16379	6.1052
0.462	7.3436	0.16381	6.1047
0.463	7.3432	0.16382	6.1042
0.464	7.3427	0.16384	6.1037
0.465	7.3423	0.16385	6.1032
0.466	7.3419	0.16386	6.1027
0.467	7.3415	0.16387	6.1023
0.468	7.3411	0.16388	6.1019
0.469	7.3406	0.16389	6.1015
0.47	7.3402	0.1639	6.1012
0.471	7.3398	0.16391	6.1008
0.472	7.3393	0.16392	6.1005
0.473	7.3389	0.16393	6.1003
0.474	7.3385	0.16393	6.1
0.475	7.338	0.16394	6.0998
0.476	7.3376	0.16395	6.0996
0.477	7.3372	0.16395	6.0994
0.478	7.3367	0.16395	6.0992
0.479	7.3363	0.16396	6.0991
0.48	7.3358	0.16396	6.099
0.481	7.3354	0.16396	6.0989
0.482	7.335	0.16396	6.0989
0.483	7.3345	0.16397	6.0988
0.484	7.3341	0.16397	6.0988
0.485	7.3336	0.16397	6.0988
0.486	7.3332	0.16396	6.0989
0.487	7.3327	0.16396	6.0989
0.488	7.3323	0.16396	6.099
0.489	7.3318	0.16396	6.0992
0.49	7.3313	0.16395	6.0993
0.491	7.3309	0.16395	6.0994
0.492	7.3304	0.16394	6.0996
0.493	7.33	0.16394	6.0998
0.494	7.3295	0.16393	6.1001
0.495	7.329	0.16393	6.1003
0.496	7.3286	0.16392	6.1006
0.497	7.3281	0.16391	6.1009
0.498	7.3276	0.1639	6.1012
0.499	7.3272	0.16389	6.1016
0.5	7.3267	0.16388	6.102
0.501	7.3262	0.16387	6.1024
0.502	7.3257	0.16386	6.1028
0.503	7.3253	0.16385	6.1032
0.504	7.3248	0.16383	6.1037
0.505	7.3243	0.16382	6.1042
0.506	7.3238	0.16381	6.1047
0.507	7.3234	0.16379	6.1052
0.508	7.3229	0.16378	6.1058
0.509	7.3224	0.16376	6.1064
0.51	7.3219	0.16375	6.107
0.511	7.3214	0.16373	6.1076
0.512	7.3209	0.16371	6.1083
0.513	7.3204	0.16369	6.109
0.514	7.3199	0.16368	6.1097
0.515	7.3194	0.16366	6.1104
0.516	7.319	0.16364	6.1111
0.517	7.3185	0.16362	6.1119
0.518	7.318	0.16359	6.1127
0.519	7.3175	0.16357	6.1135
0.52	7.317	0.16355	6.1143
0.521	7.3165	0.16353	6.1152
0.522	7.316	0.1635	6.116
0.523	7.3154	0.16348	6.1169
0.524	7.3149	0.16346	6.1179
0.525	7.3144	0.16343	6.1188
0.526	7.3139	0.1634	6.1198
0.527	7.3134	0.16338	6.1208
0.528	7.3129	0.16335	6.1218
0.529	7.3124	0.16332	6.1228
0.53	7.3119	0.1633	6.1238
0.531	7.3114	0.16327	6.1249
0.532	7.3108	0.16324	6.126
0.533	7.3103	0.16321	6.1271
0.534	7.3098	0.16318	6.1282
0.535	7.3093	0.16315	6.1294
0.536	7.3088	0.16312	6.1306
0.537	7.3082	0.16308	6.1318
0.538	7.3077	0.16305	6.133
0.539	7.3072	0.16302	6.1342
0.54	7.3066	0.16299	6.1355
0.541	7.3061	0.16295	6.1368
0.542	7.3056	0.16292	6.1381
0.543	7.3051	0.16288	6.1394
0.544	7.3045	0.16285	6.1407
0.545	7.304	0.16281	6.1421
0.546	7.3034	0.16277	6.1435
0.547	7.3029	0.16274	6.1449
0.548	7.3024	0.1627	6.1463
0.549	7.3018	0.16266	6.1477
0.55	7.3013	0.16262	6.1492
0.551	7.3007	0.16258	6.1506
0.552	7.3002	0.16255	6.1521
0.553	7.2996	0.16251	6.1537
0.554	7.2991	0.16246	6.1552
0.555	7.2985	0.16242	6.1567
0.556	7.298	0.16238	6.1583
0.557	7.2974	0.16234	6.1599
0.558	7.2969	0.1623	6.1615
0.559	7.2963	0.16226	6.1631
0.56	7.2958	0.16221	6.1648
0.561	7.2952	0.16217	6.1664
0.562	7.2947	0.16212	6.1681
0.563	7.2941	0.16208	6.1698
0.564	7.2935	0.16203	6.1715
0.565	7.293	0.16199	6.1733
0.566	7.2924	0.16194	6.175
0.567	7.2919	0.1619	6.1768
0.568	7.2913	0.16185	6.1786
0.569	7.2907	0.1618	6.1804
0.57	7.2901	0.16175	6.1822
0.571	7.2896	0.16171	6.1841
0.572	7.289	0.16166	6.1859
0.573	7.2884	0.16161	6.1878
0.574	7.2879	0.16156	6.1897
0.575	7.2873	0.16151	6.1916
0.576	7.2867	0.16146	6.1935
0.577	7.2861	0.16141	6.1955
0.578	7.2855	0.16136	6.1974
0.579	7.285	0.16131	6.1994
0.58	7.2844	0.16125	6.2014
0.581	7.2838	0.1612	6.2034
0.582	7.2832	0.16115	6.2054
0.583	7.2826	0.1611	6.2074
0.584	7.282	0.16104	6.2095
0.585	7.2815	0.16099	6.2115
0.586	7.2809	0.16094	6.2136
0.587	7.2803	0.16088	6.2157
0.588	7.2797	0.16083	6.2178
0.589	7.2791	0.16077	6.22
0.59	7.2785	0.16072	6.2221
0.591	7.2779	0.16066	6.2243
0.592	7.2773	0.16061	6.2264
0.593	7.2767	0.16055	6.2286
0.594	7.2761	0.16049	6.2308
0.595	7.2755	0.16044	6.233
0.596	7.2749	0.16038	6.2353
0.597	7.2743	0.16032	6.2375
0.598	7.2737	0.16026	6.2398
0.599	7.2731	0.1602	6.242
0.6	7.2725	0.16015	6.2443
0.601	7.2719	0.16009	6.2466
0.602	7.2713	0.16003	6.2489
0.603	7.2707	0.15997	6.2512
0.604	7.27	0.15991	6.2536
0.605	7.2694	0.15985	6.2559
0.606	7.2688	0.15979	6.2583
0.607	7.2682	0.15973	6.2607
0.608	7.2676	0.15967	6.263
0.609	7.267	0.15961	6.2654
0.61	7.2664	0.15954	6.2678
0.611	7.2657	0.15948	6.2703
0.612	7.2651	0.15942	6.2727
0.613	7.2645	0.15936	6.2751
0.614	7.2639	0.1593	6.2776
0.615	7.2632	0.15923	6.2801
0.616	7.2626	0.15917	6.2825
0.617	7.262	0.15911	6.285
0.618	7.2614	0.15904	6.2875
0.619	7.2607	0.15898	6.29
0.62	7.2601	0.15892	6.2926
0.621	7.2595	0.15885	6.2951
0.622	7.2588	0.15879	6.2976
0.623	7.2582	0.15873	6.3002
