0	 0	 5
0	 0	 10
0	 0	 15
0	 0	 20
0	 0	 25
0	 0	 30
0	 0	 35
0	 0	 40
0	 0	 45
0	 0	 50
0	 0	 55
0	 0	 60
0	 0	 65
0	 0	 70
0	 0	 75
0	 0	 80
0	 0	 85
0	 0	 90
0	 0	 95
0	 0	 100
0	 0	 105
0	 1	 110
0	 1	 115
0	 1	 120
0	 1	 125
0	 1	 130
0	 1	 135
0	 1	 140
0	 1	 145
0	 1	 150
0	 1	 155
0	 2	 160
0	 2	 165
0	 2	 170
0	 2	 175
0	 2	 180
0	 2	 185
0	 2	 190
0	 2	 195
0	 2	 200
0	 2	 205
0	 2	 210
0	 2	 215
0	 3	 220
0	 3	 225
0	 3	 230
0	 3	 235
0	 3	 240
0	 3	 245
0	 3	 250
0	 3	 255
0	 3	 260
0	 3	 265
0	 3	 270
0	 3	 275
0	 3	 280
0	 3	 285
0	 3	 290
0	 3	 295
0	 3	 300
0	 4	 305
0	 4	 310
0	 4	 315
0	 4	 320
0	 4	 325
0	 4	 330
0	 5	 335
0	 5	 340
1	 5	 345
1	 6	 350
1	 6	 355
1	 6	 360
1	 7	 365
1	 7	 370
1	 7	 375
1	 8	 380
1	 8	 385
1	 8	 390
1	 9	 395
1	 9	 400
1	 9	 405
1	 9	 410
2	 10	 415
2	 10	 420
2	 10	 425
2	 11	 430
2	 11	 435
2	 11	 440
2	 12	 445
2	 12	 450
3	 12	 455
3	 12	 460
3	 13	 465
3	 13	 470
3	 13	 475
3	 13	 480
4	 13	 485
4	 13	 490
4	 13	 495
4	 14	 500
5	 14	 505
5	 14	 510
5	 14	 515
5	 14	 520
6	 15	 525
6	 15	 530
6	 15	 535
7	 16	 540
7	 16	 545
7	 16	 550
8	 16	 555
8	 17	 560
8	 17	 565
9	 17	 570
9	 18	 575
10	 18	 580
10	 19	 585
10	 19	 590
11	 20	 595
11	 20	 600
12	 21	 605
12	 21	 610
13	 22	 615
13	 23	 620
14	 23	 625
15	 24	 630
15	 25	 635
16	 25	 640
16	 26	 645
17	 26	 650
18	 27	 655
18	 28	 660
19	 28	 665
20	 29	 670
21	 30	 675
21	 30	 680
22	 31	 685
23	 31	 690
24	 32	 695
25	 32	 700
26	 33	 705
27	 33	 710
27	 34	 715
28	 34	 720
29	 35	 725
30	 35	 730
31	 36	 735
32	 36	 740
33	 37	 745
34	 37	 750
35	 37	 755
37	 37	 760
38	 38	 765
39	 38	 770
40	 39	 775
41	 39	 780
42	 40	 785
